IP:Port,Loss,Latency
188.114.99.26:864,0%,10.40
162.159.192.26:3476,0%,10.41
188.114.99.244:5279,0%,10.43
162.159.192.32:3138,0%,10.43
188.114.99.129:1014,0%,10.46
188.114.99.163:3854,0%,10.47
188.114.98.197:903,0%,10.47
188.114.99.246:1387,0%,10.49
188.114.98.112:939,0%,10.51
162.159.192.70:942,0%,10.52
162.159.195.146:891,0%,10.53
162.159.192.223:3854,0%,10.53
162.159.192.127:8854,0%,10.53
162.159.192.172:894,0%,10.53
188.114.99.222:4198,0%,10.56
188.114.98.209:1002,0%,10.56
188.114.99.46:878,0%,10.58
162.159.195.241:8854,0%,10.58
162.159.192.196:891,0%,10.58
188.114.98.73:1074,0%,10.59
188.114.98.115:5956,0%,10.61
162.159.195.16:890,0%,10.62
162.159.195.202:894,0%,10.63
162.159.195.26:7103,0%,10.64
162.159.195.22:987,0%,10.65
188.114.98.212:5279,0%,10.65
162.159.192.55:4500,0%,10.66
162.159.192.183:988,0%,10.66
162.159.195.76:8854,0%,10.66
162.159.192.112:7152,0%,10.66
188.114.98.5:3476,0%,10.67
162.159.195.178:3138,0%,10.68
162.159.192.6:943,0%,10.69
162.159.195.62:4177,0%,10.70
162.159.192.66:8854,0%,10.71
162.159.195.153:908,0%,10.72
162.159.192.127:1010,0%,10.73
162.159.195.199:891,0%,10.74
162.159.192.78:3854,0%,10.74
162.159.195.198:987,0%,10.78
162.159.192.22:7281,0%,10.82
188.114.99.78:7281,0%,10.82
162.159.195.105:1010,0%,10.86
162.159.195.152:3581,0%,10.95
188.114.98.142:880,0%,11.05
162.159.192.149:500,0%,11.07
162.159.192.143:4177,0%,11.15
162.159.192.1:987,0%,11.16
162.159.192.201:7281,0%,11.20
188.114.98.147:4500,0%,11.21
162.159.192.167:500,0%,11.27
162.159.192.192:934,0%,11.31
188.114.98.123:1074,0%,11.35
162.159.195.223:3138,0%,11.35
188.114.98.81:1387,0%,11.36
162.159.192.127:864,0%,11.39
162.159.192.208:934,0%,11.42
162.159.195.62:903,0%,11.43
162.159.195.137:1180,0%,11.44
188.114.99.30:1014,0%,11.62
162.159.195.107:7559,0%,11.63
162.159.192.194:880,0%,11.69
